state,county,program_type,plan_name,parent_org,geographic_region,medicaid_enrollment,dual_enrollment,total_enrollment,source_url,source_year,notes
AZ,Apache,Marketplace QHP,Blue Cross Blue Shield (BCBS — affiliate varies) (Marketplace),Blue Cross Blue Shield (BCBS — affiliate varies),FIPS 04001,,,1599,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Blue Cross Blue Shield of Arizona]
AZ,Cochise,Marketplace QHP,Centene (Marketplace),Centene,FIPS 04003,,,3299,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Ambetter from Arizona Complete Health]
AZ,Cochise,Marketplace QHP,Blue Cross Blue Shield (BCBS — affiliate varies) (Marketplace),Blue Cross Blue Shield (BCBS — affiliate varies),FIPS 04003,,,1102,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Blue Cross Blue Shield of Arizona]
AZ,Cochise,Marketplace QHP,Aetna (CVS Health) (Marketplace),Aetna (CVS Health),FIPS 04003,,,596,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: BannerAetna]
AZ,Coconino,Marketplace QHP,Blue Cross Blue Shield (BCBS — affiliate varies) (Marketplace),Blue Cross Blue Shield (BCBS — affiliate varies),FIPS 04005,,,2960,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Blue Cross Blue Shield of Arizona]
AZ,Coconino,Marketplace QHP,Centene (Marketplace),Centene,FIPS 04005,,,2944,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Ambetter from Arizona Complete Health]
AZ,Coconino,Marketplace QHP,Aetna (CVS Health) (Marketplace),Aetna (CVS Health),FIPS 04005,,,1063,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: BannerAetna]
AZ,Gila,Marketplace QHP,Centene (Marketplace),Centene,FIPS 04007,,,1144,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Ambetter from Arizona Complete Health]
AZ,Gila,Marketplace QHP,Aetna (CVS Health) (Marketplace),Aetna (CVS Health),FIPS 04007,,,965,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: BannerAetna]
AZ,Gila,Marketplace QHP,Blue Cross Blue Shield (BCBS — affiliate varies) (Marketplace),Blue Cross Blue Shield (BCBS — affiliate varies),FIPS 04007,,,503,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Blue Cross Blue Shield of Arizona]
