state,county,program_type,plan_name,parent_org,geographic_region,medicaid_enrollment,dual_enrollment,total_enrollment,source_url,source_year,notes
AZ,Apache,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04001,,,10875,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,Cochise,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04003,,,19638,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,Coconino,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04005,,,16421,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,Gila,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04007,,,10558,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,Graham,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04009,,,2812,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,Greenlee,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04011,,,603,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,La Paz,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04012,,,3557,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,Maricopa,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04013,,,397529,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,Mohave,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04015,,,36677,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,Navajo,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04017,,,17315,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
AZ,Pima,Medicare FFS (Original Medicare),Medicare FFS,Medicare (Federal),FIPS 04019,,,111704,https://data.cms.gov/summary-statistics-on-beneficiary-enrollment/medicare-and-medicaid-reports/medicare-monthly-enrollment,2026-05,[source: CMS Medicare Monthly Enrollment 2026-05; ORGNL_MDCR_BENES]
