state,county,program_type,plan_name,parent_org,geographic_region,medicaid_enrollment,dual_enrollment,total_enrollment,source_url,source_year,notes
CA,Alameda,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06001,,,8364,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Amador,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06005,,,213,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Butte,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06007,,,1057,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Calaveras,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06009,,,236,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Colusa,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06011,,,112,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Contra Costa,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06013,,,5948,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Del Norte,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06015,,,137,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,El Dorado,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06017,,,978,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Fresno,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06019,,,5194,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Glenn,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06021,,,144,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Humboldt,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06023,,,671,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Imperial,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06025,,,922,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Inyo,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06027,,,94,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
CA,Kern,State-Based Exchange QHP / Medicaid Managed Care,Anthem Blue Cross of California,Elevance Health,FIPS 06029,,,4679,,2024 (rough estimate),"[ESTIMATED — distributed from rough state-based exchange total (200,000) by 2024 county population. Covered CA enrollment estimate]"
