state,county,program_type,plan_name,parent_org,geographic_region,medicaid_enrollment,dual_enrollment,total_enrollment,source_url,source_year,notes
CA,Alameda,Medicaid MCO - Single Plan,Alameda Alliance for Health,Alameda Alliance (public),,380704,,380704,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Calaveras,Medicaid MCO - Regional,Anthem Blue Cross,Elevance Health,,6961,,6961,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Sacramento,Medicaid MCO - GMC,Anthem Blue Cross,Elevance Health,,240158,,240158,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,San Francisco,Medicaid MCO - 2 Plan (Comm),Anthem Blue Cross,Elevance Health,,39281,,39281,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Santa Clara,Medicaid MCO - 2 Plan (Comm),Anthem Blue Cross,Elevance Health,,69582,,69582,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Tulare,Medicaid MCO - 2 Plan (LI),Anthem Blue Cross,Elevance Health,,138211,,138211,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Alpine,Medicaid MCO - 2 Plan (Comm),Anthem Blue Cross Partnership Plan,Elevance Health,,198,,198,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Amador,Medicaid MCO - Regional,Anthem Blue Cross Partnership Plan,Elevance Health,,6300,,6300,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,El Dorado,Medicaid MCO - 2 Plan (Comm),Anthem Blue Cross Partnership Plan,Elevance Health,,24984,,24984,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Fresno,Medicaid MCO - 2 Plan (Comm),Anthem Blue Cross Partnership Plan,Elevance Health,,142360,,142360,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Inyo,Medicaid MCO - Regional,Anthem Blue Cross Partnership Plan,Elevance Health,,2683,,2683,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Kern,Medicaid MCO - 2 Plan (Comm),Anthem Blue Cross Partnership Plan,Elevance Health,,46979,,46979,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Kings,Medicaid MCO - 2 Plan (Comm),Anthem Blue Cross Partnership Plan,Elevance Health,,25016,,25016,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Madera,Medicaid MCO - 2 Plan (Comm),Anthem Blue Cross Partnership Plan,Elevance Health,,25888,,25888,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Mono,Medicaid MCO - Regional,Anthem Blue Cross Partnership Plan,Elevance Health,,1942,,1942,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Tuolumne,Medicaid MCO - Regional,Anthem Blue Cross Partnership Plan,Elevance Health,,7877,,7877,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,San Diego,Medicaid MCO - GMC,Blue Shield of California Promise,Blue Shield of California,,179455,,179455,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Orange,Medicaid MCO - COHS,CalOptima,CalOptima (county agency),,818624,,818624,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
CA,Fresno,Medicaid MCO - 2 Plan (LI),CalViva Health,Centene (Health Net),,331574,,331574,https://data.chhs.ca.gov/dataset/medi-cal-managed-care-enrollment-report,2026-03,[source: state-direct file]
